learning_style,tone_preference,engagement_type,focus_area,learning_path
Reading/Writing,Neutral,Gamer,Analytical,Balanced-Path
Visual,Strict,Story-driven,Analytical,Balanced-Path
Kinesthetic,Friendly,Gamer,Social,Balanced-Path
Reading/Writing,Neutral,Creative,Social,Balanced-Path
Visual,Neutral,Gamer,Analytical,Visual-Gamer
Reading/Writing,Neutral,Creative,Practical,Balanced-Path
Reading/Writing,Strict,Story-driven,Practical,Balanced-Path
Kinesthetic,Playful,Gamer,Practical,Balanced-Path
Visual,Neutral,Gamer,Creative,Visual-Gamer
Kinesthetic,Playful,Story-driven,Social,Balanced-Path
Auditory,Strict,Gamer,Analytical,Balanced-Path
Visual,Playful,Gamer,Social,Visual-Gamer
Visual,Neutral,Story-driven,Practical,Balanced-Path
Auditory,Strict,Gamer,Practical,Balanced-Path
Visual,Friendly,Explorer,Creative,Creative-Explorer
Auditory,Friendly,Creative,Creative,Auditory-Friendly
Kinesthetic,Neutral,Creative,Social,Balanced-Path
Kinesthetic,Strict,Explorer,Practical,Balanced-Path
Reading/Writing,Friendly,Explorer,Creative,Creative-Explorer
Kinesthetic,Friendly,Creative,Creative,Creative-Explorer
Auditory,Neutral,Explorer,Social,Balanced-Path
Kinesthetic,Playful,Gamer,Analytical,Balanced-Path
Kinesthetic,Strict,Story-driven,Practical,Balanced-Path
Visual,Strict,Creative,Practical,Balanced-Path
Reading/Writing,Playful,Explorer,Creative,Creative-Explorer
Reading/Writing,Strict,Explorer,Practical,Balanced-Path
Kinesthetic,Strict,Creative,Analytical,Balanced-Path
Visual,Playful,Creative,Social,Balanced-Path
Auditory,Playful,Gamer,Social,Auditory-Friendly
Kinesthetic,Friendly,Gamer,Creative,Creative-Explorer
Reading/Writing,Strict,Story-driven,Creative,Creative-Explorer
Reading/Writing,Strict,Creative,Practical,Balanced-Path
Auditory,Playful,Gamer,Practical,Auditory-Friendly
Kinesthetic,Friendly,Story-driven,Analytical,Balanced-Path
Kinesthetic,Neutral,Creative,Analytical,Balanced-Path
Visual,Playful,Explorer,Social,Balanced-Path
Visual,Friendly,Explorer,Social,Balanced-Path
Kinesthetic,Playful,Explorer,Practical,Balanced-Path
Kinesthetic,Neutral,Creative,Analytical,Balanced-Path
Kinesthetic,Playful,Explorer,Analytical,Balanced-Path
Kinesthetic,Playful,Story-driven,Practical,Balanced-Path
Kinesthetic,Neutral,Explorer,Practical,Balanced-Path
Auditory,Friendly,Explorer,Analytical,Auditory-Friendly
Visual,Neutral,Creative,Creative,Creative-Explorer
Auditory,Neutral,Story-driven,Social,Balanced-Path
Kinesthetic,Friendly,Gamer,Practical,Balanced-Path
Visual,Playful,Gamer,Creative,Visual-Gamer
Visual,Playful,Creative,Practical,Balanced-Path
Kinesthetic,Playful,Explorer,Social,Balanced-Path
Visual,Playful,Gamer,Practical,Visual-Gamer
Kinesthetic,Strict,Explorer,Creative,Creative-Explorer
Reading/Writing,Neutral,Story-driven,Creative,Creative-Explorer
Auditory,Neutral,Gamer,Social,Balanced-Path
Auditory,Playful,Explorer,Social,Auditory-Friendly
Auditory,Friendly,Story-driven,Analytical,Auditory-Friendly
Kinesthetic,Strict,Creative,Analytical,Balanced-Path
Visual,Playful,Gamer,Practical,Visual-Gamer
Reading/Writing,Playful,Explorer,Practical,Balanced-Path
Visual,Playful,Gamer,Practical,Visual-Gamer
Kinesthetic,Neutral,Gamer,Creative,Creative-Explorer
Visual,Neutral,Explorer,Practical,Balanced-Path
Visual,Friendly,Creative,Analytical,Balanced-Path
Visual,Neutral,Gamer,Social,Visual-Gamer
Reading/Writing,Playful,Gamer,Practical,Balanced-Path
Reading/Writing,Friendly,Gamer,Practical,Balanced-Path
Reading/Writing,Friendly,Creative,Social,Balanced-Path
Kinesthetic,Neutral,Gamer,Creative,Creative-Explorer
Reading/Writing,Neutral,Story-driven,Social,Balanced-Path
Kinesthetic,Neutral,Creative,Creative,Creative-Explorer
Kinesthetic,Strict,Story-driven,Social,Balanced-Path
Auditory,Strict,Explorer,Creative,Creative-Explorer
Auditory,Neutral,Gamer,Practical,Balanced-Path
Visual,Friendly,Explorer,Creative,Creative-Explorer
Kinesthetic,Strict,Gamer,Creative,Creative-Explorer
Reading/Writing,Neutral,Explorer,Creative,Creative-Explorer
Visual,Playful,Gamer,Practical,Visual-Gamer
Auditory,Strict,Gamer,Practical,Balanced-Path
Visual,Playful,Gamer,Practical,Visual-Gamer
Kinesthetic,Neutral,Creative,Creative,Creative-Explorer
Kinesthetic,Strict,Explorer,Social,Balanced-Path
Kinesthetic,Neutral,Story-driven,Practical,Balanced-Path
Reading/Writing,Strict,Story-driven,Social,Balanced-Path
Visual,Neutral,Explorer,Creative,Creative-Explorer
Visual,Neutral,Story-driven,Creative,Creative-Explorer
Auditory,Friendly,Creative,Creative,Auditory-Friendly
Auditory,Strict,Story-driven,Social,Balanced-Path
Kinesthetic,Friendly,Gamer,Practical,Balanced-Path
Visual,Playful,Creative,Practical,Balanced-Path
Visual,Strict,Creative,Creative,Creative-Explorer
Visual,Playful,Creative,Creative,Creative-Explorer
Reading/Writing,Strict,Explorer,Practical,Balanced-Path
Kinesthetic,Playful,Gamer,Creative,Creative-Explorer
Kinesthetic,Neutral,Story-driven,Social,Balanced-Path
Visual,Playful,Explorer,Social,Balanced-Path
Kinesthetic,Neutral,Explorer,Creative,Creative-Explorer
Visual,Neutral,Gamer,Creative,Visual-Gamer
Reading/Writing,Strict,Gamer,Practical,Balanced-Path
Visual,Friendly,Story-driven,Creative,Creative-Explorer
Visual,Strict,Story-driven,Practical,Balanced-Path
Auditory,Neutral,Creative,Analytical,Balanced-Path
Kinesthetic,Friendly,Gamer,Analytical,Balanced-Path
Kinesthetic,Friendly,Explorer,Practical,Balanced-Path
Reading/Writing,Friendly,Story-driven,Analytical,Balanced-Path
Reading/Writing,Strict,Creative,Creative,Creative-Explorer
Kinesthetic,Strict,Gamer,Creative,Creative-Explorer
Visual,Friendly,Story-driven,Practical,Balanced-Path
Visual,Strict,Gamer,Creative,Visual-Gamer
Auditory,Neutral,Creative,Analytical,Balanced-Path
Kinesthetic,Playful,Story-driven,Creative,Creative-Explorer
Kinesthetic,Friendly,Explorer,Practical,Balanced-Path
Visual,Neutral,Story-driven,Analytical,Balanced-Path
Reading/Writing,Neutral,Story-driven,Creative,Creative-Explorer
Visual,Playful,Story-driven,Practical,Balanced-Path
Reading/Writing,Neutral,Story-driven,Social,Balanced-Path
Auditory,Playful,Gamer,Practical,Auditory-Friendly
Visual,Friendly,Creative,Practical,Balanced-Path
Kinesthetic,Playful,Explorer,Creative,Creative-Explorer
Visual,Playful,Creative,Practical,Balanced-Path
Reading/Writing,Playful,Creative,Practical,Balanced-Path
Auditory,Strict,Creative,Analytical,Balanced-Path
Visual,Friendly,Explorer,Social,Balanced-Path
Visual,Playful,Explorer,Analytical,Balanced-Path
Visual,Playful,Story-driven,Social,Balanced-Path
Kinesthetic,Friendly,Gamer,Practical,Balanced-Path
Reading/Writing,Neutral,Story-driven,Analytical,Balanced-Path
Reading/Writing,Neutral,Explorer,Social,Balanced-Path
Visual,Neutral,Creative,Analytical,Balanced-Path
Auditory,Neutral,Story-driven,Creative,Creative-Explorer
Auditory,Strict,Gamer,Social,Balanced-Path
Kinesthetic,Neutral,Gamer,Creative,Creative-Explorer
Visual,Strict,Gamer,Practical,Visual-Gamer
Kinesthetic,Friendly,Gamer,Analytical,Balanced-Path
Visual,Playful,Story-driven,Analytical,Balanced-Path
Visual,Playful,Creative,Social,Balanced-Path
Visual,Strict,Creative,Practical,Balanced-Path
Auditory,Friendly,Explorer,Practical,Auditory-Friendly
Kinesthetic,Strict,Story-driven,Practical,Balanced-Path
Visual,Playful,Gamer,Social,Visual-Gamer
Visual,Strict,Gamer,Social,Visual-Gamer
Visual,Neutral,Gamer,Analytical,Visual-Gamer
Auditory,Playful,Creative,Analytical,Auditory-Friendly
Auditory,Friendly,Explorer,Social,Auditory-Friendly
Visual,Playful,Creative,Analytical,Balanced-Path
Visual,Strict,Creative,Analytical,Balanced-Path
Reading/Writing,Playful,Story-driven,Social,Balanced-Path
Kinesthetic,Playful,Explorer,Creative,Creative-Explorer
Reading/Writing,Playful,Gamer,Analytical,Balanced-Path
Reading/Writing,Playful,Gamer,Practical,Balanced-Path
Reading/Writing,Friendly,Creative,Analytical,Balanced-Path
Reading/Writing,Playful,Gamer,Social,Balanced-Path
Visual,Friendly,Story-driven,Creative,Creative-Explorer
Reading/Writing,Neutral,Explorer,Creative,Creative-Explorer
Visual,Strict,Explorer,Analytical,Balanced-Path
Reading/Writing,Strict,Story-driven,Social,Balanced-Path
Kinesthetic,Friendly,Story-driven,Creative,Creative-Explorer
Kinesthetic,Friendly,Gamer,Creative,Creative-Explorer
Reading/Writing,Neutral,Gamer,Practical,Balanced-Path
Auditory,Friendly,Story-driven,Social,Auditory-Friendly
Auditory,Neutral,Gamer,Analytical,Balanced-Path
Visual,Neutral,Explorer,Practical,Balanced-Path
Kinesthetic,Friendly,Gamer,Creative,Creative-Explorer
Kinesthetic,Friendly,Explorer,Social,Balanced-Path
Visual,Friendly,Creative,Practical,Balanced-Path
Auditory,Playful,Explorer,Social,Auditory-Friendly
Visual,Playful,Story-driven,Social,Balanced-Path
Reading/Writing,Neutral,Story-driven,Social,Balanced-Path
Reading/Writing,Neutral,Explorer,Analytical,Balanced-Path
Visual,Neutral,Creative,Creative,Creative-Explorer
Auditory,Playful,Creative,Practical,Auditory-Friendly
Visual,Strict,Gamer,Social,Visual-Gamer
Visual,Strict,Gamer,Practical,Visual-Gamer
Auditory,Friendly,Explorer,Practical,Auditory-Friendly
Visual,Friendly,Creative,Analytical,Balanced-Path
Auditory,Friendly,Story-driven,Creative,Auditory-Friendly
Kinesthetic,Friendly,Creative,Analytical,Balanced-Path
Visual,Strict,Gamer,Practical,Visual-Gamer
Auditory,Friendly,Explorer,Practical,Auditory-Friendly
Visual,Playful,Explorer,Social,Balanced-Path
Kinesthetic,Friendly,Story-driven,Social,Balanced-Path
Visual,Friendly,Story-driven,Social,Balanced-Path
Reading/Writing,Friendly,Gamer,Creative,Creative-Explorer
Auditory,Strict,Creative,Social,Balanced-Path
Visual,Strict,Creative,Creative,Creative-Explorer
Kinesthetic,Playful,Creative,Creative,Creative-Explorer
Kinesthetic,Playful,Creative,Analytical,Balanced-Path
Kinesthetic,Neutral,Creative,Practical,Balanced-Path
Auditory,Playful,Story-driven,Practical,Auditory-Friendly
Auditory,Playful,Creative,Analytical,Auditory-Friendly
Visual,Playful,Creative,Social,Balanced-Path
Auditory,Strict,Gamer,Analytical,Balanced-Path
Visual,Friendly,Creative,Analytical,Balanced-Path
Kinesthetic,Playful,Gamer,Analytical,Balanced-Path
Auditory,Strict,Gamer,Creative,Creative-Explorer
Auditory,Strict,Creative,Analytical,Balanced-Path
Reading/Writing,Friendly,Story-driven,Creative,Creative-Explorer
Kinesthetic,Neutral,Story-driven,Social,Balanced-Path
Visual,Friendly,Explorer,Practical,Balanced-Path
Visual,Neutral,Gamer,Creative,Visual-Gamer
Kinesthetic,Strict,Gamer,Social,Balanced-Path
Visual,Neutral,Explorer,Analytical,Balanced-Path
Auditory,Strict,Explorer,Analytical,Balanced-Path
Visual,Friendly,Story-driven,Analytical,Balanced-Path
Reading/Writing,Strict,Gamer,Analytical,Balanced-Path
Kinesthetic,Strict,Story-driven,Practical,Balanced-Path
Visual,Friendly,Explorer,Analytical,Balanced-Path
Auditory,Strict,Gamer,Social,Balanced-Path
Visual,Friendly,Gamer,Creative,Visual-Gamer
Auditory,Strict,Gamer,Analytical,Balanced-Path
Auditory,Friendly,Story-driven,Analytical,Auditory-Friendly
Reading/Writing,Friendly,Gamer,Practical,Balanced-Path
Auditory,Friendly,Gamer,Practical,Auditory-Friendly
Kinesthetic,Neutral,Creative,Social,Balanced-Path
Kinesthetic,Strict,Story-driven,Creative,Creative-Explorer
Auditory,Neutral,Story-driven,Social,Balanced-Path
Reading/Writing,Neutral,Creative,Analytical,Balanced-Path
Auditory,Playful,Gamer,Creative,Auditory-Friendly
Auditory,Strict,Gamer,Analytical,Balanced-Path
Kinesthetic,Strict,Explorer,Social,Balanced-Path
Reading/Writing,Friendly,Gamer,Creative,Creative-Explorer
Auditory,Strict,Explorer,Social,Balanced-Path
Auditory,Playful,Creative,Creative,Auditory-Friendly
Auditory,Neutral,Story-driven,Creative,Creative-Explorer
Auditory,Strict,Explorer,Social,Balanced-Path
Reading/Writing,Neutral,Creative,Analytical,Balanced-Path
Auditory,Friendly,Creative,Social,Auditory-Friendly
Kinesthetic,Neutral,Explorer,Creative,Creative-Explorer
Reading/Writing,Friendly,Gamer,Analytical,Balanced-Path
Kinesthetic,Neutral,Creative,Analytical,Balanced-Path
Auditory,Friendly,Creative,Practical,Auditory-Friendly
Kinesthetic,Friendly,Story-driven,Creative,Creative-Explorer
Visual,Neutral,Gamer,Creative,Visual-Gamer
Reading/Writing,Strict,Creative,Social,Balanced-Path
Reading/Writing,Strict,Gamer,Social,Balanced-Path
Reading/Writing,Playful,Explorer,Social,Balanced-Path
Auditory,Playful,Creative,Practical,Auditory-Friendly
Kinesthetic,Playful,Creative,Analytical,Balanced-Path
Reading/Writing,Playful,Explorer,Social,Balanced-Path
Visual,Playful,Story-driven,Analytical,Balanced-Path
Auditory,Strict,Explorer,Analytical,Balanced-Path
Visual,Neutral,Creative,Creative,Creative-Explorer
Visual,Neutral,Gamer,Creative,Visual-Gamer
Visual,Friendly,Gamer,Practical,Visual-Gamer
Auditory,Neutral,Story-driven,Analytical,Balanced-Path
Auditory,Neutral,Gamer,Social,Balanced-Path
Visual,Neutral,Gamer,Social,Visual-Gamer
Visual,Neutral,Explorer,Practical,Balanced-Path
Auditory,Strict,Explorer,Practical,Balanced-Path
Visual,Friendly,Story-driven,Practical,Balanced-Path
Visual,Playful,Gamer,Social,Visual-Gamer
Visual,Playful,Explorer,Social,Balanced-Path
Reading/Writing,Playful,Story-driven,Creative,Creative-Explorer
Auditory,Playful,Explorer,Creative,Auditory-Friendly
Kinesthetic,Neutral,Gamer,Creative,Creative-Explorer
Auditory,Strict,Creative,Social,Balanced-Path
Reading/Writing,Strict,Explorer,Social,Balanced-Path
Auditory,Strict,Explorer,Practical,Balanced-Path
Visual,Neutral,Story-driven,Creative,Creative-Explorer
Reading/Writing,Strict,Explorer,Practical,Balanced-Path
Visual,Strict,Gamer,Practical,Visual-Gamer
Auditory,Strict,Gamer,Analytical,Balanced-Path
Reading/Writing,Neutral,Story-driven,Creative,Creative-Explorer
Kinesthetic,Friendly,Gamer,Analytical,Balanced-Path
Kinesthetic,Friendly,Creative,Creative,Creative-Explorer
Reading/Writing,Friendly,Gamer,Creative,Creative-Explorer
Reading/Writing,Playful,Explorer,Creative,Creative-Explorer
Auditory,Strict,Creative,Practical,Balanced-Path
Visual,Playful,Explorer,Creative,Creative-Explorer
Visual,Friendly,Story-driven,Practical,Balanced-Path
Auditory,Playful,Story-driven,Social,Auditory-Friendly
Kinesthetic,Strict,Gamer,Creative,Creative-Explorer
Visual,Friendly,Gamer,Analytical,Visual-Gamer
Auditory,Friendly,Story-driven,Creative,Auditory-Friendly
Reading/Writing,Playful,Creative,Creative,Creative-Explorer
Reading/Writing,Neutral,Story-driven,Creative,Creative-Explorer
Reading/Writing,Playful,Explorer,Analytical,Balanced-Path
Reading/Writing,Strict,Explorer,Social,Balanced-Path
Kinesthetic,Friendly,Creative,Practical,Balanced-Path
Reading/Writing,Neutral,Story-driven,Practical,Balanced-Path
Kinesthetic,Strict,Creative,Social,Balanced-Path
Auditory,Neutral,Gamer,Creative,Creative-Explorer
Kinesthetic,Neutral,Explorer,Creative,Creative-Explorer
Visual,Neutral,Explorer,Social,Balanced-Path
Kinesthetic,Neutral,Explorer,Analytical,Balanced-Path
Kinesthetic,Friendly,Story-driven,Creative,Creative-Explorer
Auditory,Playful,Explorer,Practical,Auditory-Friendly
Visual,Playful,Gamer,Practical,Visual-Gamer
Reading/Writing,Friendly,Story-driven,Creative,Creative-Explorer
Kinesthetic,Neutral,Gamer,Creative,Creative-Explorer
Reading/Writing,Strict,Creative,Analytical,Balanced-Path
Reading/Writing,Strict,Gamer,Creative,Creative-Explorer
Auditory,Playful,Story-driven,Analytical,Auditory-Friendly
Reading/Writing,Neutral,Creative,Creative,Creative-Explorer
Visual,Playful,Story-driven,Practical,Balanced-Path
Visual,Strict,Gamer,Analytical,Visual-Gamer
Visual,Friendly,Explorer,Social,Balanced-Path
Kinesthetic,Neutral,Explorer,Social,Balanced-Path
Auditory,Strict,Gamer,Analytical,Balanced-Path
Auditory,Playful,Creative,Creative,Auditory-Friendly
Auditory,Friendly,Creative,Social,Auditory-Friendly
Visual,Neutral,Creative,Social,Balanced-Path
Reading/Writing,Friendly,Creative,Practical,Balanced-Path
Auditory,Playful,Creative,Analytical,Auditory-Friendly
Kinesthetic,Strict,Gamer,Analytical,Balanced-Path
Auditory,Playful,Story-driven,Social,Auditory-Friendly
Visual,Friendly,Gamer,Social,Visual-Gamer
Reading/Writing,Neutral,Story-driven,Creative,Creative-Explorer
Kinesthetic,Friendly,Gamer,Creative,Creative-Explorer
Visual,Neutral,Creative,Practical,Balanced-Path
Reading/Writing,Playful,Story-driven,Practical,Balanced-Path
Reading/Writing,Friendly,Story-driven,Analytical,Balanced-Path
Reading/Writing,Strict,Explorer,Analytical,Balanced-Path
Visual,Friendly,Gamer,Social,Visual-Gamer
Reading/Writing,Neutral,Story-driven,Analytical,Balanced-Path
Kinesthetic,Playful,Explorer,Social,Balanced-Path
Reading/Writing,Neutral,Story-driven,Social,Balanced-Path
Reading/Writing,Strict,Creative,Creative,Creative-Explorer
Kinesthetic,Playful,Explorer,Social,Balanced-Path
Visual,Friendly,Creative,Creative,Creative-Explorer
Reading/Writing,Strict,Creative,Analytical,Balanced-Path
Auditory,Friendly,Gamer,Analytical,Auditory-Friendly
Visual,Strict,Explorer,Analytical,Balanced-Path
Auditory,Playful,Story-driven,Creative,Auditory-Friendly
Auditory,Friendly,Explorer,Creative,Auditory-Friendly
Visual,Neutral,Story-driven,Analytical,Balanced-Path
Reading/Writing,Strict,Creative,Analytical,Balanced-Path
Kinesthetic,Playful,Creative,Social,Balanced-Path
Visual,Playful,Gamer,Analytical,Visual-Gamer
Reading/Writing,Playful,Creative,Analytical,Balanced-Path
Auditory,Strict,Explorer,Social,Balanced-Path
Reading/Writing,Playful,Creative,Creative,Creative-Explorer
Reading/Writing,Strict,Gamer,Practical,Balanced-Path
Reading/Writing,Neutral,Story-driven,Practical,Balanced-Path
Auditory,Neutral,Creative,Social,Balanced-Path
Reading/Writing,Neutral,Story-driven,Social,Balanced-Path
Kinesthetic,Neutral,Gamer,Practical,Balanced-Path
Auditory,Neutral,Gamer,Analytical,Balanced-Path
Reading/Writing,Playful,Creative,Social,Balanced-Path
Kinesthetic,Playful,Creative,Practical,Balanced-Path
Kinesthetic,Friendly,Creative,Analytical,Balanced-Path
Kinesthetic,Strict,Story-driven,Analytical,Balanced-Path
Kinesthetic,Strict,Story-driven,Analytical,Balanced-Path
Auditory,Strict,Gamer,Creative,Creative-Explorer
Kinesthetic,Friendly,Story-driven,Social,Balanced-Path
Reading/Writing,Friendly,Story-driven,Analytical,Balanced-Path
Visual,Neutral,Story-driven,Practical,Balanced-Path
Auditory,Strict,Gamer,Analytical,Balanced-Path
Reading/Writing,Neutral,Explorer,Social,Balanced-Path
Kinesthetic,Strict,Gamer,Social,Balanced-Path
Visual,Friendly,Gamer,Creative,Visual-Gamer
Kinesthetic,Friendly,Gamer,Creative,Creative-Explorer
Visual,Strict,Explorer,Practical,Balanced-Path
Visual,Neutral,Explorer,Creative,Creative-Explorer
Auditory,Strict,Story-driven,Social,Balanced-Path
Auditory,Strict,Gamer,Practical,Balanced-Path
Reading/Writing,Strict,Creative,Social,Balanced-Path
Reading/Writing,Neutral,Creative,Analytical,Balanced-Path
Reading/Writing,Playful,Story-driven,Analytical,Balanced-Path
Kinesthetic,Friendly,Gamer,Analytical,Balanced-Path
Reading/Writing,Strict,Story-driven,Creative,Creative-Explorer
Kinesthetic,Neutral,Gamer,Analytical,Balanced-Path
Reading/Writing,Friendly,Creative,Analytical,Balanced-Path
Visual,Playful,Story-driven,Creative,Creative-Explorer
Kinesthetic,Strict,Gamer,Practical,Balanced-Path
Visual,Strict,Gamer,Practical,Visual-Gamer
Visual,Neutral,Explorer,Social,Balanced-Path
Reading/Writing,Playful,Explorer,Creative,Creative-Explorer
Kinesthetic,Neutral,Gamer,Analytical,Balanced-Path
Visual,Friendly,Story-driven,Practical,Balanced-Path
Kinesthetic,Strict,Story-driven,Analytical,Balanced-Path
Auditory,Strict,Explorer,Creative,Creative-Explorer
Auditory,Neutral,Creative,Analytical,Balanced-Path
Auditory,Neutral,Story-driven,Social,Balanced-Path
Reading/Writing,Playful,Gamer,Practical,Balanced-Path
Visual,Strict,Explorer,Social,Balanced-Path
Kinesthetic,Neutral,Story-driven,Social,Balanced-Path
Auditory,Neutral,Creative,Analytical,Balanced-Path
Reading/Writing,Strict,Creative,Practical,Balanced-Path
Auditory,Strict,Gamer,Practical,Balanced-Path
Visual,Friendly,Explorer,Social,Balanced-Path
Kinesthetic,Strict,Explorer,Social,Balanced-Path
Visual,Playful,Story-driven,Analytical,Balanced-Path
Reading/Writing,Friendly,Explorer,Social,Balanced-Path
Visual,Playful,Explorer,Practical,Balanced-Path
Auditory,Strict,Creative,Practical,Balanced-Path
Auditory,Playful,Creative,Creative,Auditory-Friendly
Reading/Writing,Playful,Creative,Practical,Balanced-Path
Visual,Neutral,Gamer,Creative,Visual-Gamer
Reading/Writing,Strict,Creative,Creative,Creative-Explorer
Reading/Writing,Neutral,Explorer,Analytical,Balanced-Path
Reading/Writing,Friendly,Explorer,Practical,Balanced-Path
Visual,Strict,Creative,Analytical,Balanced-Path
Kinesthetic,Neutral,Story-driven,Analytical,Balanced-Path
Reading/Writing,Friendly,Creative,Social,Balanced-Path
Auditory,Strict,Story-driven,Social,Balanced-Path
Reading/Writing,Strict,Creative,Practical,Balanced-Path
Visual,Friendly,Story-driven,Practical,Balanced-Path
Auditory,Friendly,Story-driven,Analytical,Auditory-Friendly
Kinesthetic,Strict,Creative,Creative,Creative-Explorer
Auditory,Playful,Creative,Analytical,Auditory-Friendly
Auditory,Neutral,Creative,Social,Balanced-Path
Auditory,Strict,Creative,Practical,Balanced-Path
Visual,Neutral,Explorer,Analytical,Balanced-Path
Auditory,Friendly,Creative,Creative,Auditory-Friendly
Visual,Friendly,Explorer,Analytical,Balanced-Path
Auditory,Neutral,Explorer,Creative,Creative-Explorer
Kinesthetic,Neutral,Story-driven,Analytical,Balanced-Path
Visual,Neutral,Explorer,Analytical,Balanced-Path
Reading/Writing,Neutral,Story-driven,Practical,Balanced-Path
Visual,Neutral,Creative,Analytical,Balanced-Path
Auditory,Neutral,Gamer,Analytical,Balanced-Path
Visual,Neutral,Story-driven,Practical,Balanced-Path
Reading/Writing,Friendly,Story-driven,Creative,Creative-Explorer
Visual,Strict,Gamer,Social,Visual-Gamer
Auditory,Strict,Creative,Creative,Creative-Explorer
Kinesthetic,Friendly,Gamer,Analytical,Balanced-Path
Reading/Writing,Neutral,Gamer,Analytical,Balanced-Path
Auditory,Friendly,Creative,Creative,Auditory-Friendly
Auditory,Neutral,Creative,Creative,Creative-Explorer
Kinesthetic,Neutral,Explorer,Analytical,Balanced-Path
Reading/Writing,Friendly,Creative,Social,Balanced-Path
Auditory,Friendly,Gamer,Social,Auditory-Friendly
Kinesthetic,Strict,Creative,Practical,Balanced-Path
Visual,Strict,Explorer,Practical,Balanced-Path
Reading/Writing,Neutral,Story-driven,Social,Balanced-Path
Reading/Writing,Playful,Story-driven,Creative,Creative-Explorer
Visual,Playful,Gamer,Creative,Visual-Gamer
Kinesthetic,Strict,Creative,Social,Balanced-Path
Reading/Writing,Playful,Explorer,Analytical,Balanced-Path
Auditory,Strict,Gamer,Social,Balanced-Path
Auditory,Friendly,Story-driven,Creative,Auditory-Friendly
Visual,Friendly,Gamer,Practical,Visual-Gamer
Visual,Friendly,Gamer,Analytical,Visual-Gamer
Reading/Writing,Playful,Story-driven,Analytical,Balanced-Path
